Tiedosto,Paikkakunta,Maakunta,Seutukunta
SKN01a.txt,Suomussalmi,Kainuu,Kehys-Kainuu
SKN01b.txt,Suomussalmi,Kainuu,Kehys-Kainuu
SKN02a.txt,Jurva,Etelä-Pohjanmaa,Seinäjoki
SKN02b.txt,Jurva,Etelä-Pohjanmaa,Seinäjoki
SKN03a.txt,Pälkäne,Pirkanmaa,Tampere
SKN03b.txt,Pälkäne,Pirkanmaa,Tampere
SKN04a.txt,Sippola,Kymenlaakso,Kouvola
SKN04b.txt,Sippola,Kymenlaakso,Kouvola
SKN05a.txt,Vihti,Uusimaa,Helsinki
SKN05b.txt,Vihti,Uusimaa,Helsinki
SKN06a.txt,Hailuoto,Pohjois-Pohjanmaa,Oulu
SKN06b.txt,Hailuoto,Pohjois-Pohjanmaa,Oulu
SKN07a.txt,Lappajärvi,Etelä-Pohjanmaa,Järviseutu
SKN07b.txt,Lappajärvi,Etelä-Pohjanmaa,Järviseutu
SKN08a.txt,Jämsä,Keski-Suomi,Jämsä
SKN08b.txt,Jämsä,Keski-Suomi,Jämsä
SKN09a.txt,Lapinlahti,Pohjois-Savo,Ylä-Savo
SKN09b.txt,Lapinlahti,Pohjois-Savo,Ylä-Savo
SKN10a.txt,Mikkeli,Etelä-Savo,Mikkeli
SKN10b.txt,Mikkeli,Etelä-Savo,Mikkeli
SKN11a.txt,Kauhava,Etelä-Pohjanmaa,Seinäjoki
SKN11b.txt,Kauhava,Etelä-Pohjanmaa,Seinäjoki
SKN12a.txt,Salla,Lappi,Itä-Lappi
SKN12b.txt,Salla,Lappi,Itä-Lappi
SKN13a.txt,Pihtipudas,Keski-Suomi,Saarijärvi-Viitasaari
SKN13b.txt,Pihtipudas,Keski-Suomi,Saarijärvi-Viitasaari
SKN14a.txt,Kiihtelysvaara,Pohjois-Karjala,Joensuu
SKN14b.txt,Kiihtelysvaara,Pohjois-Karjala,Joensuu
SKN15a.txt,Rautu,Kannas,Kannas
SKN15b.txt,Rautu,Kannas,Kannas
SKN16a.txt,Noormarkku,Satakunta,Pori
SKN16b.txt,Noormarkku,Satakunta,Pori
SKN17a.txt,Liperi,Pohjois-Karjala,Joensuu
SKN17b.txt,Liperi,Pohjois-Karjala,Joensuu
SKN18a.txt,Rautalampi,Pohjois-Savo,Sisä-Savo
SKN18b.txt,Rautalampi,Pohjois-Savo,Sisä-Savo
SKN19a.txt,Kalajoki,Pohjois-Pohjanmaa,Ylivieska
SKN19b.txt,Kalajoki,Pohjois-Pohjanmaa,Ylivieska
SKN20a.txt,Ikaalinen,Pirkanmaa,Luoteis-Pirkanmaa
SKN20b.txt,Ikaalinen,Pirkanmaa,Luoteis-Pirkanmaa
SKN21a.txt,Loppi,Kanta-Häme,Riihimäki
SKN21b.txt,Loppi,Kanta-Häme,Riihimäki
SKN22a.txt,Alatornio,Lappi,Kemi-Tornio
SKN22b.txt,Alatornio,Lappi,Kemi-Tornio
SKN23a.txt,Hollola,Päijät-Häme,Lahti
SKN23b.txt,Hollola,Päijät-Häme,Lahti
SKN24a.txt,Kurkijoki,Kannas,Kannas
SKN24b.txt,Kurkijoki,Kannas,Kannas
SKN25a.txt,Alastaro,Varsinais-Suomi,Loimaa
SKN25b.txt,Alastaro,Varsinais-Suomi,Loimaa
SKN26a.txt,Moloskovitsa,Inkeri,Inkeri
SKN26b.txt,Moloskovitsa,Inkeri,Inkeri
SKN27a.txt,Velkua,Varsinais-Suomi,Turku
SKN27b.txt,Velkua,Varsinais-Suomi,Turku
SKN28a.txt,Sotkamo,Kainuu,Kajaani
SKN28b.txt,Sotkamo,Kainuu,Kajaani
SKN29a.txt,Kerimäki,Etelä-Savo,Savonlinna
SKN29b.txt,Kerimäki,Etelä-Savo,Savonlinna
SKN30a.txt,Hinnerjoki,Satakunta,Rauma
SKN30b.txt,Hinnerjoki,Satakunta,Rauma
SKN31a.txt,Joutsa,Keski-Suomi,Joutsa
SKN31b.txt,Joutsa,Keski-Suomi,Joutsa
SKN32a.txt,Askola,Uusimaa,Porvoo
SKN32b.txt,Askola,Uusimaa,Porvoo
SKN33a.txt,Urjala,Pirkanmaa,Etelä-Pirkanmaa
SKN33b.txt,Urjala,Pirkanmaa,Etelä-Pirkanmaa
SKN34.txt,Markkova,Inkeri,Inkeri
SKN35a.txt,Artjärvi,Uusimaa,Lahti
SKN35b.txt,Artjärvi,Uusimaa,Lahti
SKN36a.txt,Lappee,Etelä-Karjala,Lappeenranta
SKN36b.txt,Lappee,Etelä-Karjala,Lappeenranta
SKN37a.txt,Padasjoki,Päijät-Häme,Lahti
SKN37b.txt,Padasjoki,Päijät-Häme,Lahti
SKN38a.txt,Lieto,Varsinais-Suomi,Turku
SKN38b.txt,Lieto,Varsinais-Suomi,Turku
SKN39a.txt,Paavola,Pohjois-Pohjanmaa,Raahe
SKN39b.txt,Paavola,Pohjois-Pohjanmaa,Raahe
SKN40a.txt,Jaala,Kymenlaakso,Kouvola
SKN40b.txt,Jaala,Kymenlaakso,Kouvola
SKN41a.txt,Juupajoki,Pirkanmaa,Ylä-Pirkanmaa
SKN41b.txt,Juupajoki,Pirkanmaa,Ylä-Pirkanmaa
SKN42a.txt,Hietamäki,Inkeri,Inkeri
SKN42b.txt,Hietamäki,Inkeri,Inkeri
SKN43a.txt,Pielisjärvi,Pohjois-Karjala,Pielisen Karjala
SKN43b.txt,Pielisjärvi,Pohjois-Karjala,Pielisen Karjala
SKN44a.txt,Kitee,Pohjois-Karjala,Keski-Karjala
SKN44b.txt,Kitee,Pohjois-Karjala,Keski-Karjala
SKN45a.txt,Heinola,Päijät-Häme,Lahti
SKN45b.txt,Heinola,Päijät-Häme,Lahti
SKN46a.txt,Ilmajoki,Etelä-Pohjanmaa,Seinäjoki
SKN46b.txt,Ilmajoki,Etelä-Pohjanmaa,Seinäjoki
SKN47a.txt,Saarijärvi,Keski-Suomi,Saarijärvi-Viitasaari
SKN47b.txt,Saarijärvi,Keski-Suomi,Saarijärvi-Viitasaari
SKN48a.txt,Vittanki,Vittanki,Vittanki
SKN48b.txt,Vittanki,Vittanki,Vittanki
SKN49a.txt,Vermlanti,Vermlanti,Vermlanti
SKN49b.txt,Vermlanti,Vermlanti,Vermlanti
SKN50a.txt,Eurajoki,Satakunta,Rauma
SKN50b.txt,Eurajoki,Satakunta,Rauma
